algorithm;stop_threshold;run;iteration;current_coverage;current_active_wp;best_coverage;best_active_wp;elapsed_ms
CompactingSolver;10;4;5;99.94533;46.98219;99.94533;46.98219;2926
CompactingSolver;10;4;6;99.93166;46.97715;99.94533;46.98219;3418
CompactingSolver;10;4;7;99.95899;46.98722;99.95899;46.98722;3910
CompactingSolver;10;4;8;99.91799;46.97212;99.95899;46.98722;4406
CompactingSolver;10;4;9;99.86331;46.95197;99.95899;46.98722;4894
CompactingSolver;10;4;10;99.82231;46.93687;99.95899;46.98722;5384
CompactingSolver;10;4;11;99.93166;46.97715;99.95899;46.98722;5870
CompactingSolver;10;4;12;99.94533;46.97859;99.95899;46.98722;6354
CompactingSolver;10;4;13;99.90432;46.96708;99.95899;46.98722;6845
CompactingSolver;10;4;14;99.95899;46.98722;99.95899;46.98722;7324
CompactingSolver;10;4;15;99.93166;46.97715;99.95899;46.98722;7808
CompactingSolver;10;4;16;99.90432;46.96708;99.95899;46.98722;8289
CompactingSolver;10;5;0;99.94533;46.98219;99.94533;46.98219;481
CompactingSolver;10;5;1;99.95899;46.98722;99.95899;46.98722;969
CompactingSolver;10;5;2;99.82231;46.93687;99.95899;46.98722;1465
CompactingSolver;10;5;3;99.91799;46.97212;99.95899;46.98722;1958
CompactingSolver;10;5;4;99.89065;46.96205;99.95899;46.98722;2444
CompactingSolver;10;5;5;99.94533;46.98219;99.95899;46.98722;2927
CompactingSolver;10;5;6;99.83598;46.94190;99.95899;46.98722;3408
CompactingSolver;10;5;7;99.90432;46.96708;99.95899;46.98722;3885
CompactingSolver;10;5;8;99.95899;46.98722;99.95899;46.98722;4365
CompactingSolver;10;5;9;99.93166;46.97715;99.95899;46.98722;4844
CompactingSolver;10;5;10;99.87698;46.95701;99.95899;46.98722;5327
CompactingSolver;25;1;0;99.93166;46.97715;99.93166;46.97715;477
CompactingSolver;25;1;1;99.93166;46.97715;99.93166;46.97715;954
CompactingSolver;25;1;2;99.83598;46.94190;99.93166;46.97715;1457
CompactingSolver;25;1;3;99.93166;46.97715;99.93166;46.97715;1941
CompactingSolver;25;1;4;99.94533;46.97859;99.94533;46.97859;2420
CompactingSolver;25;1;5;99.91799;46.97212;99.94533;46.97859;2902
CompactingSolver;25;1;6;99.93166;46.97715;99.94533;46.97859;3408
CompactingSolver;25;1;7;99.94533;46.98219;99.94533;46.98219;3892
CompactingSolver;25;1;8;99.94533;46.98219;99.94533;46.98219;4374
CompactingSolver;25;1;9;99.97266;46.99226;99.97266;46.99226;4858
CompactingSolver;25;1;10;99.87698;46.95701;99.97266;46.99226;5353
CompactingSolver;25;1;11;99.90432;46.96708;99.97266;46.99226;5846
CompactingSolver;25;1;12;99.91799;46.97212;99.97266;46.99226;6332
CompactingSolver;25;1;13;99.90432;46.96708;99.97266;46.99226;6819
CompactingSolver;25;1;14;99.90432;46.96708;99.97266;46.99226;7308
CompactingSolver;25;1;15;99.93166;46.97715;99.97266;46.99226;7791
CompactingSolver;25;1;16;99.90432;46.96708;99.97266;46.99226;8277
CompactingSolver;25;1;17;99.91799;46.97212;99.97266;46.99226;8762
CompactingSolver;25;1;18;99.93166;46.97715;99.97266;46.99226;9252
CompactingSolver;25;1;19;99.86331;46.95197;99.97266;46.99226;9742
CompactingSolver;25;1;20;99.91799;46.97212;99.97266;46.99226;10240
CompactingSolver;25;1;21;99.83598;46.94190;99.97266;46.99226;10732
CompactingSolver;25;1;22;100.00000;47.00233;100.00000;47.00233;11242
CompactingSolver;25;1;23;99.93166;46.97715;100.00000;47.00233;11730
CompactingSolver;25;1;24;99.97266;46.98866;100.00000;47.00233;12214
CompactingSolver;25;1;25;99.94533;46.98219;100.00000;47.00233;12709
CompactingSolver;25;1;26;99.94533;46.97859;100.00000;47.00233;13196
CompactingSolver;25;1;27;99.97266;46.99226;100.00000;47.00233;13693
CompactingSolver;25;1;28;99.93166;46.97715;100.00000;47.00233;14194
CompactingSolver;25;1;29;99.86331;46.95197;100.00000;47.00233;14683
CompactingSolver;25;1;30;99.84964;46.94694;100.00000;47.00233;15179
CompactingSolver;25;1;31;99.94533;46.98219;100.00000;47.00233;15681
CompactingSolver;25;1;32;99.87698;46.94478;100.00000;47.00233;16174
CompactingSolver;25;1;33;99.97266;46.99226;100.00000;47.00233;16659
CompactingSolver;25;1;34;99.83598;46.94190;100.00000;47.00233;17148
CompactingSolver;25;1;35;99.97266;46.99226;100.00000;47.00233;17642
CompactingSolver;25;1;36;99.86331;46.95197;100.00000;47.00233;18127
CompactingSolver;25;1;37;99.93166;46.97715;100.00000;47.00233;18606
CompactingSolver;25;1;38;99.93166;46.97715;100.00000;47.00233;19089
CompactingSolver;25;1;39;99.86331;46.95197;100.00000;47.00233;19576
CompactingSolver;25;1;40;99.94533;46.98219;100.00000;47.00233;20071
CompactingSolver;25;1;41;99.86331;46.95197;100.00000;47.00233;20564
CompactingSolver;25;1;42;99.87698;46.92392;100.00000;47.00233;21053
CompactingSolver;25;1;43;99.93166;46.97715;100.00000;47.00233;21541
CompactingSolver;25;1;44;99.94533;46.98219;100.00000;47.00233;22055
CompactingSolver;25;1;45;99.93166;46.97715;100.00000;47.00233;22544
CompactingSolver;25;1;46;99.95899;46.98363;100.00000;47.00233;23031
CompactingSolver;25;2;0;99.93166;46.97715;99.93166;46.97715;477
CompactingSolver;25;2;1;99.94533;46.98219;99.94533;46.98219;961
CompactingSolver;25;2;2;99.94533;46.97859;99.94533;46.98219;1450
CompactingSolver;25;2;3;99.91799;46.97212;99.94533;46.98219;1938
CompactingSolver;25;2;4;99.91799;46.97212;99.94533;46.98219;2455
CompactingSolver;25;2;5;99.97266;46.99226;99.97266;46.99226;2967
CompactingSolver;25;2;6;99.91799;46.97212;99.97266;46.99226;3461
CompactingSolver;25;2;7;99.93166;46.97715;99.97266;46.99226;3951
CompactingSolver;25;2;8;99.95899;46.98722;99.97266;46.99226;4438
CompactingSolver;25;2;9;99.98633;46.99730;99.98633;46.99730;4924
CompactingSolver;25;2;10;99.93166;46.97715;99.98633;46.99730;5411
CompactingSolver;25;2;11;99.90432;46.96348;99.98633;46.99730;5894
CompactingSolver;25;2;12;99.90432;46.96708;99.98633;46.99730;6380
CompactingSolver;25;2;13;99.93166;46.97715;99.98633;46.99730;6866
CompactingSolver;25;2;14;99.84964;46.94694;99.98633;46.99730;7521
CompactingSolver;25;2;15;99.94533;46.98219;99.98633;46.99730;8012
CompactingSolver;25;2;16;99.93166;46.97715;99.98633;46.99730;8494
CompactingSolver;25;2;17;99.93166;46.97715;99.98633;46.99730;8975
CompactingSolver;25;2;18;99.91799;46.97212;99.98633;46.99730;9462
CompactingSolver;25;2;19;99.90432;46.96708;99.98633;46.99730;9946
CompactingSolver;25;2;20;99.98633;46.99730;99.98633;46.99730;10429
CompactingSolver;25;2;21;99.91799;46.97212;99.98633;46.99730;10911
CompactingSolver;25;2;22;99.94533;46.98219;99.98633;46.99730;11392
CompactingSolver;25;2;23;99.94533;46.98219;99.98633;46.99730;11879
CompactingSolver;25;2;24;99.98633;46.99730;99.98633;46.99730;12361
CompactingSolver;25;2;25;99.98633;46.99730;99.98633;46.99730;12891
CompactingSolver;25;2;26;99.82231;46.93687;99.98633;46.99730;13373
CompactingSolver;25;2;27;99.83598;46.94190;99.98633;46.99730;13859
CompactingSolver;25;2;28;99.98633;46.99730;99.98633;46.99730;14344
CompactingSolver;25;2;29;99.93166;46.97715;99.98633;46.99730;14832
CompactingSolver;25;2;30;99.90432;46.96708;99.98633;46.99730;15318
CompactingSolver;25;2;31;99.97266;46.99226;99.98633;46.99730;15802
CompactingSolver;25;2;32;99.95899;46.98722;99.98633;46.99730;16288
CompactingSolver;25;2;33;99.87698;46.95341;99.98633;46.99730;16770
CompactingSolver;25;2;34;99.83598;46.94190;99.98633;46.99730;17254
CompactingSolver;25;2;35;99.78130;46.92176;99.98633;46.99730;17740
CompactingSolver;25;2;36;99.95899;46.98722;99.98633;46.99730;18224
CompactingSolver;25;2;37;99.94533;46.98219;99.98633;46.99730;18702
CompactingSolver;25;2;38;99.86331;46.94838;99.98633;46.99730;19181
CompactingSolver;25;2;39;99.97266;46.99226;99.98633;46.99730;19662
CompactingSolver;25;2;40;99.76763;46.91672;99.98633;46.99730;20144
CompactingSolver;25;2;41;99.90432;46.96708;99.98633;46.99730;20622
CompactingSolver;25;2;42;99.97266;46.99226;99.98633;46.99730;21132
CompactingSolver;25;2;43;99.86331;46.95197;99.98633;46.99730;21612
CompactingSolver;25;2;44;99.94533;46.95269;99.98633;46.99730;22111
CompactingSolver;25;2;45;99.90432;46.96708;99.98633;46.99730;22598
CompactingSolver;25;2;46;99.90432;46.96708;99.98633;46.99730;23081
CompactingSolver;25;2;47;99.89065;46.96205;99.98633;46.99730;23559
CompactingSolver;25;2;48;99.95899;46.98722;99.98633;46.99730;24043
CompactingSolver;25;3;0;99.97266;46.99226;99.97266;46.99226;486
CompactingSolver;25;3;1;99.87698;46.95701;99.97266;46.99226;962
CompactingSolver;25;3;2;99.94533;46.98219;99.97266;46.99226;1440
CompactingSolver;25;3;3;99.93166;46.97715;99.97266;46.99226;1916
CompactingSolver;25;3;4;99.93166;46.97715;99.97266;46.99226;2401
CompactingSolver;25;3;5;99.98633;46.99730;99.98633;46.99730;2892
CompactingSolver;25;3;6;99.95899;46.98722;99.98633;46.99730;3385
CompactingSolver;25;3;7;99.94533;46.98219;99.98633;46.99730;3870
CompactingSolver;25;3;8;99.90432;46.96708;99.98633;46.99730;4355
CompactingSolver;25;3;9;99.89065;46.96205;99.98633;46.99730;4837
CompactingSolver;25;3;10;99.84964;46.94694;99.98633;46.99730;5313
CompactingSolver;25;3;11;99.93166;46.97715;99.98633;46.99730;5809
CompactingSolver;25;3;12;99.94533;46.97859;99.98633;46.99730;6298
CompactingSolver;25;3;13;99.90432;46.95485;99.98633;46.99730;6783
CompactingSolver;25;3;14;99.89065;46.96205;99.98633;46.99730;7272
CompactingSolver;25;3;15;99.91799;46.97212;99.98633;46.99730;7758
CompactingSolver;25;3;16;99.87698;46.95341;99.98633;46.99730;8250
CompactingSolver;25;3;17;99.95899;46.98722;99.98633;46.99730;8737
CompactingSolver;25;3;18;99.91799;46.97212;99.98633;46.99730;9230
CompactingSolver;25;3;19;99.91799;46.97212;99.98633;46.99730;9714
CompactingSolver;25;3;20;99.93166;46.97715;99.98633;46.99730;10200
CompactingSolver;25;3;21;99.94533;46.98219;99.98633;46.99730;10688
CompactingSolver;25;3;22;99.86331;46.95197;99.98633;46.99730;11177
CompactingSolver;25;3;23;99.86331;46.95197;99.98633;46.99730;11664
CompactingSolver;25;3;24;99.94533;46.98219;99.98633;46.99730;12151
CompactingSolver;25;3;25;99.94533;46.98219;99.98633;46.99730;12633
CompactingSolver;25;3;26;99.90432;46.96708;99.98633;46.99730;13121
CompactingSolver;25;3;27;99.93166;46.97715;99.98633;46.99730;13604
CompactingSolver;25;3;28;99.83598;46.94190;99.98633;46.99730;14090
CompactingSolver;25;3;29;99.93166;46.97715;99.98633;46.99730;14580
CompactingSolver;25;4;0;99.89065;46.96205;99.89065;46.96205;496
CompactingSolver;25;4;1;99.91799;46.97212;99.91799;46.97212;993
CompactingSolver;25;4;2;99.93166;46.97715;99.93166;46.97715;1488
CompactingSolver;25;4;3;99.94533;46.98219;99.94533;46.98219;1965
CompactingSolver;25;4;4;99.94533;46.98219;99.94533;46.98219;2457
CompactingSolver;25;4;5;99.94533;46.98219;99.94533;46.98219;2962
CompactingSolver;25;4;6;99.95899;46.98722;99.95899;46.98722;3453
CompactingSolver;25;4;7;99.90432;46.96708;99.95899;46.98722;3980
CompactingSolver;25;4;8;99.90432;46.96708;99.95899;46.98722;4470
CompactingSolver;25;4;9;99.83598;46.94190;99.95899;46.98722;4968
CompactingSolver;25;4;10;99.91799;46.97212;99.95899;46.98722;5460
CompactingSolver;25;4;11;99.91799;46.97212;99.95899;46.98722;5954
CompactingSolver;25;4;12;99.84964;46.94334;99.95899;46.98722;6436
CompactingSolver;25;4;13;99.97266;46.98866;99.97266;46.98866;6920
CompactingSolver;25;4;14;99.90432;46.96348;99.97266;46.98866;7408
CompactingSolver;25;4;15;99.94533;46.98219;99.97266;46.98866;7919
CompactingSolver;25;4;16;99.91799;46.97212;99.97266;46.98866;8404
CompactingSolver;25;4;17;99.95899;46.98722;99.97266;46.98866;8892
CompactingSolver;25;4;18;99.90432;46.96708;99.97266;46.98866;9381
CompactingSolver;25;4;19;99.95899;46.98722;99.97266;46.98866;9874
CompactingSolver;25;4;20;99.98633;46.99730;99.98633;46.99730;10530
CompactingSolver;25;4;21;99.83598;46.93831;99.98633;46.99730;11041
CompactingSolver;25;4;22;99.89065;46.95485;99.98633;46.99730;11536
CompactingSolver;25;4;23;99.84964;46.94694;99.98633;46.99730;12018
CompactingSolver;25;4;24;99.91799;46.97212;99.98633;46.99730;12506
CompactingSolver;25;4;25;99.98633;46.99730;99.98633;46.99730;12990
CompactingSolver;25;4;26;99.97266;46.99226;99.98633;46.99730;13484
CompactingSolver;25;4;27;99.94533;46.98219;99.98633;46.99730;13974
CompactingSolver;25;4;28;99.89065;46.96205;99.98633;46.99730;14462
CompactingSolver;25;4;29;99.95899;46.98722;99.98633;46.99730;14938
CompactingSolver;25;4;30;99.91799;46.97212;99.98633;46.99730;15420
CompactingSolver;25;4;31;99.87698;46.95341;99.98633;46.99730;15897
CompactingSolver;25;4;32;99.93166;46.97715;99.98633;46.99730;16387
CompactingSolver;25;4;33;99.90432;46.96708;99.98633;46.99730;16872
CompactingSolver;25;4;34;99.95899;46.95773;99.98633;46.99730;17379
CompactingSolver;25;4;35;99.93166;46.97715;99.98633;46.99730;17856
CompactingSolver;25;4;36;99.93166;46.97356;99.98633;46.99730;18338
CompactingSolver;25;4;37;99.98633;46.99730;99.98633;46.99730;18824
CompactingSolver;25;4;38;99.84964;46.94694;99.98633;46.99730;19301
CompactingSolver;25;4;39;99.95899;46.98363;99.98633;46.99730;19782
CompactingSolver;25;4;40;99.86331;46.95197;99.98633;46.99730;20268
CompactingSolver;25;4;41;99.89065;46.96205;99.98633;46.99730;20748
CompactingSolver;25;4;42;99.91799;46.97212;99.98633;46.99730;21223
CompactingSolver;25;4;43;99.90432;46.96708;99.98633;46.99730;21703
CompactingSolver;25;4;44;99.87698;46.95341;99.98633;46.99730;22185
CompactingSolver;25;5;0;99.94533;46.98219;99.94533;46.98219;490
CompactingSolver;25;5;1;99.93166;46.97715;99.94533;46.98219;978
CompactingSolver;25;5;2;99.94533;46.98219;99.94533;46.98219;1468
CompactingSolver;25;5;3;99.86331;46.95197;99.94533;46.98219;1950
CompactingSolver;25;5;4;99.97266;46.98866;99.97266;46.98866;2438
CompactingSolver;25;5;5;99.93166;46.97715;99.97266;46.98866;2923
CompactingSolver;25;5;6;99.89065;46.96205;99.97266;46.98866;3401
CompactingSolver;25;5;7;99.91799;46.97212;99.97266;46.98866;3885
CompactingSolver;25;5;8;99.90432;46.96708;99.97266;46.98866;4375
CompactingSolver;25;5;9;99.93166;46.97715;99.97266;46.98866;4851
CompactingSolver;25;5;10;99.86331;46.95197;99.97266;46.98866;5327
CompactingSolver;25;5;11;99.91799;46.97212;99.97266;46.98866;5803
CompactingSolver;25;5;12;99.95899;46.98722;99.97266;46.98866;6278
CompactingSolver;25;5;13;99.90432;46.96708;99.97266;46.98866;6763
CompactingSolver;25;5;14;99.84964;46.94334;99.97266;46.98866;7243
CompactingSolver;25;5;15;99.90432;46.96708;99.97266;46.98866;7716
CompactingSolver;25;5;16;99.94533;46.98219;99.97266;46.98866;8189
CompactingSolver;25;5;17;99.90432;46.96708;99.97266;46.98866;8665
CompactingSolver;25;5;18;99.94533;46.98219;99.97266;46.98866;9141
CompactingSolver;25;5;19;99.94533;46.98219;99.97266;46.98866;9616
CompactingSolver;25;5;20;99.90432;46.96708;99.97266;46.98866;10092
CompactingSolver;25;5;21;99.91799;46.97212;99.97266;46.98866;10567
CompactingSolver;25;5;22;99.94533;46.98219;99.97266;46.98866;11042
CompactingSolver;25;5;23;99.94533;46.98219;99.97266;46.98866;11526
CompactingSolver;25;5;24;99.87698;46.95701;99.97266;46.98866;12004
CompactingSolver;25;5;25;99.98633;46.99730;99.98633;46.99730;12480
CompactingSolver;25;5;26;99.90432;46.96708;99.98633;46.99730;12967
CompactingSolver;25;5;27;99.89065;46.96205;99.98633;46.99730;13448
CompactingSolver;25;5;28;99.91799;46.97212;99.98633;46.99730;13928
CompactingSolver;25;5;29;99.91799;46.97212;99.98633;46.99730;14412
CompactingSolver;25;5;30;99.95899;46.98722;99.98633;46.99730;14910
CompactingSolver;25;5;31;99.90432;46.96708;99.98633;46.99730;15393
CompactingSolver;25;5;32;99.90432;46.96708;99.98633;46.99730;15882
CompactingSolver;25;5;33;99.91799;46.97212;99.98633;46.99730;16360
CompactingSolver;25;5;34;99.94533;46.98219;99.98633;46.99730;16839
CompactingSolver;25;5;35;99.84964;46.94694;99.98633;46.99730;17315
CompactingSolver;25;5;36;99.97266;46.99226;99.98633;46.99730;17791
CompactingSolver;25;5;37;99.95899;46.98722;99.98633;46.99730;18268
CompactingSolver;25;5;38;99.95899;46.98722;99.98633;46.99730;18742
CompactingSolver;25;5;39;99.95899;46.98363;99.98633;46.99730;19218
CompactingSolver;25;5;40;99.98633;46.99730;99.98633;46.99730;19718
CompactingSolver;25;5;41;99.95899;46.98722;99.98633;46.99730;20194
CompactingSolver;25;5;42;99.90432;46.96708;99.98633;46.99730;20669
CompactingSolver;25;5;43;99.97266;46.99226;99.98633;46.99730;21151
CompactingSolver;25;5;44;99.87698;46.95701;99.98633;46.99730;21628
CompactingSolver;25;5;45;99.94533;46.98219;99.98633;46.99730;22107
CompactingSolver;25;5;46;99.87698;46.95701;99.98633;46.99730;22581
CompactingSolver;25;5;47;99.87698;46.95341;99.98633;46.99730;23059
CompactingSolver;25;5;48;99.87698;46.95701;99.98633;46.99730;23531
