Instance	Number-of-Services	Real-Services	Fake-Services	Number-of-Employees	Total-Agents	Working-Agents	%Working-Agents	Total-Drivers	Total-Managers	Total-RampManagers	Algorithm	Productivity-UT	Real-Productivity-UT	P.UT-Agent	P.UT-Driver	P.UT-RampManager	P.UT-Manager	Work-Productivity	Real-Work-Productivity	WP-Agent	WP-Driver	WP-RampManager	WP-Manager	Execution-Time(ms)	Covered-Services(%)	Covered-Services	Active-Work-Productivity
SPC-1.0-agents0015-timePerDay08-instance0003.json	607	579	28	19	15	15	100,000	2	2	0	compactingSolver	79,091	74,909	71,342	71,429	0,000	71,429	52,961	39,803	50,417	62,500	0,000	62,500	17,910	63,097	383	52,961
TFS-1.0-agents0090-timePerDay04-instance0003.json	2086	1983	103	128	90	90	100,000	27	11	0	randomSolver	91,022	88,379	85,994	81,565	0,000	87,987	55,106	40,137	57,083	46,693	0,000	59,578	273,605	64,046	1336	55,106
TFS-1.0-agents0090-timePerDay04-instance0003.json	2086	1983	103	128	90	90	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	7,143	2,930	4,167	10,979	0,000	22,078	53,162	6,088	127	7,143
TFS-1.0-agents0090-timePerDay04-instance0003.json	2086	1983	103	128	90	90	100,000	27	11	0	compactingSolver	94,509	93,181	82,532	68,959	0,000	87,059	58,803	43,945	62,500	46,693	0,000	58,279	539,940	69,607	1452	60,214
TFS-1.0-agents0030-timePerDay08-instance0008.json	2086	1983	103	68	30	30	100,000	27	11	0	randomSolver	93,393	86,791	81,005	80,785	0,000	88,992	53,392	25,214	57,153	46,693	0,000	59,578	70,498	44,391	926	53,392
TFS-1.0-agents0030-timePerDay08-instance0008.json	2086	1983	103	68	30	30	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	8,850	0,919	2,083	10,979	0,000	22,078	17,853	3,212	67	8,850
TFS-1.0-agents0030-timePerDay08-instance0008.json	2086	1983	103	68	30	30	100,000	27	11	0	compactingSolver	92,851	87,559	79,220	68,641	0,000	84,539	54,342	26,164	59,306	46,693	0,000	59,578	149,686	45,877	957	57,738
SPC-0.1-agents0040-timePerDay06-instance0001.json	87	59	28	44	40	32	80,000	2	2	0	randomSolver	96,399	95,066	18,334	71,429	0,000	71,429	9,407	3,725	4,097	62,500	0,000	62,500	5,277	90,805	79	11,497
SPC-0.1-agents0040-timePerDay06-instance0001.json	87	59	28	44	40	40	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	3,662	2,525	2,778	12,500	0,000	12,500	0,744	50,575	44	3,662
SPC-0.1-agents0040-timePerDay06-instance0001.json	87	59	28	44	40	9	22,500	2	2	0	compactingSolver	91,777	87,560	12,196	71,429	0,000	71,429	9,407	3,725	4,097	62,500	0,000	62,500	4,519	90,805	79	31,838
TFS-0.75-agents0110-timePerDay08-instance0009.json	1591	1488	103	148	110	110	100,000	27	11	0	randomSolver	78,034	71,732	66,981	81,233	0,000	86,456	33,892	20,946	28,182	46,693	0,000	59,578	502,211	100,000	1591	33,892
TFS-0.75-agents0110-timePerDay08-instance0009.json	1591	1488	103	148	110	110	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	5,192	1,548	2,083	10,979	0,000	22,078	50,130	9,239	147	5,192
TFS-0.75-agents0110-timePerDay08-instance0009.json	1591	1488	103	148	110	77	70,000	27	11	0	compactingSolver	89,889	85,749	47,886	71,298	0,000	85,096	33,892	20,946	28,182	46,693	0,000	59,578	367,695	100,000	1591	45,190
TFS-0.25-agents0040-timePerDay04-instance0007.json	600	497	103	78	40	40	100,000	27	11	0	randomSolver	93,204	88,690	88,057	81,360	0,000	85,312	49,168	24,786	48,333	46,693	0,000	58,279	44,938	94,333	566	49,168
TFS-0.25-agents0040-timePerDay04-instance0007.json	600	497	103	78	40	40	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	9,051	2,137	4,167	10,979	0,000	22,078	6,230	12,833	77	9,051
TFS-0.25-agents0040-timePerDay04-instance0007.json	600	497	103	78	40	40	100,000	27	11	0	compactingSolver	93,788	89,936	81,906	69,641	0,000	86,642	50,900	26,335	51,354	46,693	0,000	59,578	50,482	99,333	596	53,652
MAD-0.25-agents0390-timePerDay06-instance0009.json	2171	1980	191	482	390	388	99,487	54	19	19	randomSolver	94,260	93,023	48,807	64,792	68,860	66,667	18,338	9,984	12,340	41,580	46,875	46,875	1947,033	100,000	2171	18,415
MAD-0.25-agents0390-timePerDay06-instance0009.json	2171	1980	191	482	390	390	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	8,476	1,967	2,431	32,147	37,171	36,595	237,328	23,722	515	8,476
MAD-0.25-agents0390-timePerDay06-instance0009.json	2171	1980	191	482	390	109	27,949	54	19	19	compactingSolver	91,275	86,194	17,764	57,924	71,053	71,053	18,338	9,984	12,340	41,580	46,875	46,875	2911,945	100,000	2171	45,097
MAD-0.25-agents0420-timePerDay06-instance0008.json	2171	1980	191	512	420	420	100,000	54	19	19	randomSolver	95,563	94,542	47,974	65,351	69,956	68,860	17,264	9,399	11,458	41,580	46,875	46,875	2089,527	100,000	2171	17,264
MAD-0.25-agents0420-timePerDay06-instance0008.json	2171	1980	191	512	420	420	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	8,143	1,994	2,431	32,147	37,171	37,171	258,088	25,150	546	8,143
MAD-0.25-agents0420-timePerDay06-instance0008.json	2171	1980	191	512	420	102	24,286	54	19	19	compactingSolver	91,474	86,089	15,937	58,333	71,053	71,053	17,264	9,399	11,458	41,580	46,875	46,875	1420,358	100,000	2171	46,037
TFS-0.9-agents0090-timePerDay04-instance0001.json	1888	1785	103	128	90	90	100,000	27	11	0	randomSolver	91,304	88,637	86,386	80,184	0,000	87,693	54,097	39,128	55,648	46,693	0,000	59,578	184,403	69,121	1305	54,097
TFS-0.9-agents0090-timePerDay04-instance0001.json	1888	1785	103	128	90	90	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	7,143	2,930	4,167	10,979	0,000	22,078	46,897	6,727	127	7,143
TFS-0.9-agents0090-timePerDay04-instance0001.json	1888	1785	103	128	90	90	100,000	27	11	0	compactingSolver	94,814	93,573	85,701	69,080	0,000	82,313	59,445	44,531	63,333	46,693	0,000	58,929	305,751	77,860	1470	61,861
SPC-0.1-agents0025-timePerDay06-instance0004.json	87	59	28	29	25	24	96,000	2	2	0	randomSolver	97,621	96,723	29,293	71,429	0,000	71,429	14,272	5,651	6,556	62,500	0,000	62,500	4,811	90,805	79	14,782
SPC-0.1-agents0025-timePerDay06-instance0004.json	87	59	28	29	25	25	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	4,119	2,395	2,778	12,500	0,000	12,500	1,211	33,333	29	4,119
SPC-0.1-agents0025-timePerDay06-instance0004.json	87	59	28	29	25	10	40,000	2	2	0	compactingSolver	86,443	79,308	17,221	71,429	0,000	71,429	14,272	5,651	6,556	62,500	0,000	62,500	4,015	90,805	79	29,563
TFS-0.75-agents0050-timePerDay06-instance0007.json	1591	1488	103	88	50	50	100,000	27	11	0	randomSolver	87,761	79,959	74,933	82,202	0,000	89,054	52,045	30,271	53,278	46,693	0,000	59,578	208,447	66,750	1062	52,045
TFS-0.75-agents0050-timePerDay06-instance0007.json	1591	1488	103	88	50	50	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	7,707	1,578	2,778	10,979	0,000	22,078	22,253	5,468	87	7,707
TFS-0.75-agents0050-timePerDay06-instance0007.json	1591	1488	103	88	50	50	100,000	27	11	0	compactingSolver	91,958	88,020	79,721	68,476	0,000	84,601	56,212	34,438	60,611	46,693	0,000	59,578	199,817	75,047	1194	58,888
TFS-0.75-agents0040-timePerDay06-instance0009.json	1591	1488	103	78	40	40	100,000	27	11	0	randomSolver	90,027	83,062	76,536	79,788	0,000	88,219	53,091	28,526	55,625	46,693	0,000	59,578	115,213	56,820	904	53,091
TFS-0.75-agents0040-timePerDay06-instance0009.json	1591	1488	103	78	40	40	100,000	27	11	0	referenceSolver	100,000	100,000	14,286	20,635	0,000	29,870	8,338	1,425	2,778	10,979	0,000	22,078	18,865	4,840	77	8,338
TFS-0.75-agents0040-timePerDay06-instance0009.json	1591	1488	103	78	40	40	100,000	27	11	0	compactingSolver	92,445	87,751	78,662	69,017	0,000	83,612	55,512	30,947	60,347	46,693	0,000	59,578	109,094	61,094	972	58,513
SPC-0.75-agents0020-timePerDay08-instance0001.json	463	435	28	24	20	20	100,000	2	2	0	randomSolver	73,073	69,227	69,227	71,429	0,000	71,429	43,142	32,726	39,271	62,500	0,000	62,500	16,385	85,745	397	43,142
SPC-0.75-agents0020-timePerDay08-instance0001.json	463	435	28	24	20	20	100,000	2	2	0	referenceSolver	100,000	100,000	14,286	14,286	0,000	14,286	3,819	1,736	2,083	12,500	0,000	12,500	2,643	5,184	24	3,819
SPC-0.75-agents0020-timePerDay08-instance0001.json	463	435	28	24	20	20	100,000	2	2	0	compactingSolver	81,973	79,302	76,470	71,429	0,000	71,429	45,486	35,069	42,083	62,500	0,000	62,500	16,261	91,577	424	45,486
MAD-0.75-agents0150-timePerDay08-instance0009.json	6129	5938	191	242	150	150	100,000	54	19	19	randomSolver	79,385	70,493	62,328	65,683	67,763	66,667	44,947	28,308	45,670	41,580	46,875	46,875	1534,692	64,431	3949	44,947
MAD-0.75-agents0150-timePerDay08-instance0009.json	6129	5938	191	242	150	150	100,000	54	19	19	referenceSolver	100,000	100,000	12,500	37,963	42,105	42,105	14,095	1,130	1,823	32,147	36,595	37,171	271,689	4,487	275	14,095
MAD-0.75-agents0150-timePerDay08-instance0009.json	6129	5938	191	242	150	150	100,000	54	19	19	compactingSolver	92,094	89,258	78,919	58,654	71,053	71,053	55,681	39,042	62,988	41,580	46,875	46,875	2026,389	87,682	5374	56,145
